;marca;preco
143;Gabinete Riotoro Morpheus GPX100 Conversível, Mid Tower/Mini Tower, RGB, LED, ATX, Painel Superior Acrílico, 2x Cooler Fan, Preto - GPX100;R$ 699,99
144;Gabinete Gamer Bluecase BG-025, Mid Tower, Lateral em Vidro - BG025GCASE;R$ 329,99
145;Gabinete Gamer Corsair iCUE 5000X, RGB, Mid-Tower, ATX, Frente e Lateral em Vidro Temperado, 3x FANs Frontais, Branco - CC-9011213-WW;R$ 1.149,99
146;Gabinete Gamer Bluecase BG-040, Fita LED RGB, ATX, Lateral em Vidro Temperado, Preto - BG040CASE;R$ 229,99
147;Gabinete Gamer Motospeed Hyrax HGB200, ATX, Lateral em Vidro Temperado, Branco - HGB200W;R$ 249,99
148;Gabinete NZXT H5 Flow Compact, Mid Tower, RGB, ATX,  Lateral e Frontal em Vidro Temperado, 2x Cooler Fan, Preto - CC-H51FB-01;R$ 999,99
149;Gabinete Gamer, K-mex, Odyssey, Cg-04rd, Led Argb, Lateral Em Acrílico, Preto;R$ 229,41
150;Gabinete Gamer Powerx 6503wt Blue, Mid Tower, Led Azul, Fonte 230w, C/ Fan 80mm, Micro-atx, Mini-itx - Branco;R$ 186,62
151;Gabinete Gamer Motospeed Hyrax Mid Tower, Fonte: Inferior, Atx, Vidro Lateral Temperado, Branco, Hgb200w.;R$ 283,04
152;Gabinete Cubo Mini-ITX Elite 110, Mini Cubo, Preto - Rc-110-kkn2;R$ 491,90
153;Gabinete NZXT H510, Preto Fosco, Mid Tower, Lateral de Vidro, ATX, Sem Fonte, 2 Coolers - CA-H510B-B1;R$ 699,00
154;Gabinete Mid-tower Cubo,  Haf Xb, Evo Cubo, Preto, Cooler Master - Rc-902xb-kkn2;R$ 893,28
155;Gabinete Gamer Gamemax, Infinit, Rainbow - M908-tr;R$ 602,97
156;Gabinete Gamer K-Mex Infinity Polygon, Sem Fonte, Com Coolers, RGB - CG-08G8;R$ 353,39
157;Gabinete Gamer Redragon Bluestreak Preto Mid Tower Lateral Vidro Temperado Sem Fan - Gc-ma211;R$ 319,90
158;Gabinete Gamer Motospeed Hyrax Hgb200b Preto Mid Tower Sem Fan - Hgb200b;R$ 303,90
159;Gabinete Gamer Microcraft 04rc, Mini Tower, Acrílico Lateral E Superior, Com 1 Fan RGB 5 Cores, Branco;R$ 310,50
160;Gabinete Gamer Brazil Pc Bpc-xe03, Mid Tower, Lateral em vidro;R$ 213,39
161;Gabinete Gamer Safe Gamer G52, Mid Tower, ATX, RGB, Vidro;R$ 212,40
162;Gabinete Gamer Nzxt CA-S340W-B1, Mid Tower, ATX, Lateral Vidro Temperado, Cooler FAN, Preto-azul;R$ 441,15
163;Gabinete Vinik One M1 Mid tower, Micro ATX, Preto S/ Fonte - 32373;R$ 151,38
164;Gabinete Slim K-mex Gm-9j8a Com Fonte Pp200;R$ 343,32
165;Gabinete Gamer NZXT H710, Mid Tower, com FAN, Lateral em Vidro - CA-H710B-B1;R$ 1.049,99
166;Gabinete Gamer Bluecase, Mid Tower, Lateral em Vidro - BG030GCASE;R$ 189,99
167;Gabinete Gamer MSI Mpg Gungnir, 4x FANs, RGB, Vidro Frontal/Lateral Temperado, Branco- 110R;R$ 749,99
168;Gabinete Riotoro CR100TG, Mid Tower, RGB, LED, ATX, Janela Lateral em Vidro Temperado, 1x Cooler Fan, Preto - CR100TG;R$ 249,99
169;Gabinete Gamer Liketec Prime, Mid Tower, RGB, M-ATX e MINI-ITX, Lateral em Acrílico, Preto - GL-PRIME-1;R$ 169,99
170;Gabinete Gamer Corsair 7000X, RGB, Full Tower, Lateral em Vidro Temperado, Branco - CC-9011227-WW;R$ 2.149,99
171;Gabinete Gamer Motospeed Hyrax HGB700, ATX, Frente e Lateral em Vidro Temperado, Branco - HGB700W;R$ 699,99
172;Gabinete Gamer Lian Li O11 EVO Dynamic, RGB, Painéis em Vidro Temperado, Branco - O11DE W;R$ 1.799,99
173;Gabinete Gamer Lian Li PC-011 Dynamic, Mini ITX / Micro ATX / ATX, Lateral e Frontal em Vidro, Branco - PC-O11 DYNAMIC WHITE;R$ 1.299,99
174;Gabinete Gamer Bluecase BG-019, Mid Tower, Lateral em Acrílico - BG019GCASE;R$ 229,99
175;Gabinete Slim K-Mex Gm-07t7, Micro Atx, Com Fonte 200W E Cabo, Preto;R$ 261,37
176;Gabinete Gamer Sharkoon LIT100, Mid Tower, RGB, com FAN, Lateral em Vidro - LIT100;R$ 549,99
177;Gabinete Gamer NZXT H710, Mid Tower, com FAN, Lateral em Vidro, Preto/Vermelho - CA-H710B-BR;R$ 999,99
178;Gabinete Gamer Cooler Master MasterCase SL600M Black Edition, Mid Tower, com FAN, Lateral em Vidro - MCM-SL600M-KGNN-S00;R$ 1.899,99
179;Gabinete Gamer Gamemax Diamond, Mid-Tower, ARGB,  Lateral Em Vidro Temperado , FAN LED RGB, Preto;R$ 344,56
180;Gabinete ATX Trinity Mini V1, Branco - Aerocool;R$ 328,99
181;Gabinete Gamer Gamemax Draco Xd 3663-Bk, 3 Fans C/ Anel Duplo, ARGB, Preto - Gmx-12dbb;R$ 363,51
182;Gabinete Gamer Cougar Panzer Max-G Full Tower Lateral em Vidro Temperado Black;R$ 1.690,00
183;Gabinete Gamer Redragon Superion Preto Mid Tower Lateral Vidro Temperado Sem Fan - Gc-mb211;R$ 280,00
184;Gabinete Tt The Tower 500/mid-tower/2 120mm Stand - Ca-1x1-00m1wn-00;R$ 1.405,16
185;Gabinete Gamer, NZXT, S340 Elite, Mid Tower, Com 2 Fans, Vidro Temperado, Preto-azul, Sem Fonte;R$ 475,15
186;Gabinete Thermaltake Core P8 Tg Ca-1q2-00m1wn-00;R$ 2.112,05
187;Gabinete Thermaltake Core P6 Tg - Preto - Ca-1v2-00m1wn-00;R$ 1.562,99
188;Gabinete Gamer Gamemax Revolt, Vidro Temperado, 3x Fans ArGB, Branco;R$ 386,58
189;Gabinete Gamer Gamdias Mid Tower Sem Fans Sem Fonte Athena M6, Preto, Gamdias;R$ 389,90
190;Gabinete Gamer Liketec Craft, Lateral Acrílico, Fita Led RGB, M-atx;R$ 155,88
191;Gabinete Gamer K-Mex CG-A2G8 Infinity Streamer III, USB 2.0 E 3.0, Com 3 Fans Frontais ARGB, Sem Fonte - Preto;R$ 343,17
192;Gabinete Gamer Evolut Blast Mid Tower Eg-813 - Evolut;R$ 235,65
193;Gabinete Gamer Mt-g90 Sem Fonte Atx, Itx, Micro Atx C3tech;R$ 147,46
194;Gabinete Gamer Deepcool Matrexx 50 Add-rgb 4f, Vidro Temperado, Preto - Dp-atx-matrexx50-ar-4f-ne;R$ 686,40
195;Gabinete Gamer Safegamer T41,Mid Tower, ATX, RGB, Lateral em Acrílico;R$ 219,60
196;Gabinete Gamer Mymax Taurus Mid Tower, Led Vermelho, ATX e Micro-ATX, USB 3.0, Rosa;R$ 150,21
197;Gabinete Gamer Gamemax Rockstar 2, Mid Tower, ARGB, ATX, Lateral Vidro, Cooler FAN, Preto;R$ 395,91
198;Gabinete Gamer Pcfort Endless, Mid Tower, RGB, Lateral E Frontal Em Vidro, Com 3 Fans RGB, Preto;R$ 247,50
199;Gabinete Gamer Cougar Duoface, ATX, RGB, White - Ref.385zd10.0003;R$ 528,00
200;Gabinete Tt V250 Tg ArGB/black/spcc/temp.glass*1 Ca-1q5-00m1wn-00*;R$ 717,41
201;Gabinete NZXT H510i, Preto Fosco, Mid Tower Lateral de Vidro, ATX Com Fita RGB - CA-H510I-B1;R$ 591,60
202;Gabinete, Thermaltake, Versa S100, Tg Snow/spcc/temp.glass*1, Ca-1q9-00s6wn-00 #;R$ 378,14
203;Gabinete Gamer, Led Rgb, Hayom, Preto, Com Lateral de Vidro, Gb-1710;R$ 303,00
204;Gabinete Lian Li 011 Dynamic XL ROG Edition Branco Full Tower Lateral de Vidro Temperado - 011DXL-W;R$ 2.052,47
205;Gabinete Gamer Gamdias Argus E4 Elite Rgb Com 1 Fan Mid Tower - Argus-e4-elite;R$ 389,00
206;Gabinete Gamer Gamdias Mid Tower Sem Fans Sem Fonte Athena M6 Wh, Branco;R$ 337,90
207;Gabinete Gamer Motospeed Hyrax, Preto, Atx, Vidro Temperado, Hgb700p.;R$ 816,05
208;Gabinete Archon 2 Mesh Rgb White - Ref. 385cc50.0002;R$ 414,26
209;Gabinete NZXT H5 Elite Compact, Mid Tower, RGB, ATX, Lateral  e Frontal em Vidro Temperado, 3x Cooler Fan, Preto - CC-H51EB-01;R$ 1.179,99
